2023-10-26T10:05:13.179Z     +0ms [debug] Finished synthesizing
2023-10-26T10:05:14.078Z   +899ms [debug] IoT connected
2023-10-26T10:05:14.083Z     +5ms [debug] Created AWS client LambdaClient
2023-10-26T13:17:33.363Z +11539280ms [debug] IoT closed
2023-10-26T13:17:34.365Z  +1002ms [debug] IoT reconnected
2023-10-26T13:17:35.294Z   +929ms [debug] IoT connected
2023-10-26T13:48:23.427Z +1848133ms [debug] IoT closed
2023-10-26T13:48:24.431Z  +1004ms [debug] IoT reconnected
2023-10-26T13:48:25.336Z   +905ms [debug] IoT connected
2023-10-26T14:19:14.425Z +1849089ms [debug] IoT closed
2023-10-26T14:19:15.424Z   +999ms [debug] IoT reconnected
2023-10-26T14:19:16.305Z   +881ms [debug] IoT connected
2023-10-26T14:45:30.001Z +1573696ms [debug] IoT closed
2023-10-26T14:45:31.000Z   +999ms [debug] IoT reconnected
2023-10-26T14:45:31.999Z   +999ms [debug] IoT connected
2023-10-26T15:16:37.713Z +1865714ms [debug] IoT closed
2023-10-26T15:16:38.715Z  +1002ms [debug] IoT reconnected
2023-10-26T15:16:39.685Z   +970ms [debug] IoT connected
2023-10-26T15:47:29.657Z +1849972ms [debug] IoT closed
2023-10-26T15:47:30.658Z  +1001ms [debug] IoT reconnected
2023-10-26T15:47:31.628Z   +970ms [debug] IoT connected
2023-10-26T16:18:20.439Z +1848811ms [debug] IoT closed
2023-10-26T16:18:21.439Z  +1000ms [debug] IoT reconnected
2023-10-26T16:18:22.435Z   +996ms [debug] IoT connected
2023-10-26T16:49:10.446Z +1848011ms [debug] IoT closed
2023-10-26T16:49:11.448Z  +1002ms [debug] IoT reconnected
2023-10-26T16:49:12.307Z   +859ms [debug] IoT connected
2023-10-26T17:20:01.319Z +1849012ms [debug] IoT closed
2023-10-26T17:20:02.324Z  +1005ms [debug] IoT reconnected
2023-10-26T17:20:03.209Z   +885ms [debug] IoT connected
2023-10-26T17:40:26.561Z +1223352ms [debug] IoT closed
2023-10-26T17:40:27.561Z  +1000ms [debug] IoT reconnected
2023-10-26T17:40:28.522Z   +961ms [debug] IoT connected
2023-10-26T17:58:49.696Z +1101174ms [debug] IoT closed
2023-10-26T17:58:50.699Z  +1003ms [debug] IoT reconnected
2023-10-26T17:58:51.753Z  +1054ms [debug] IoT connected
2023-10-26T18:29:59.426Z +1867673ms [debug] IoT closed
2023-10-26T18:30:00.427Z  +1001ms [debug] IoT reconnected
2023-10-26T18:30:01.254Z   +827ms [debug] IoT connected
2023-10-26T18:58:31.801Z +1710547ms [debug] IoT closed
2023-10-26T18:58:32.802Z  +1001ms [debug] IoT reconnected
2023-10-26T18:58:33.774Z   +972ms [debug] IoT connected
2023-10-26T19:29:20.809Z +1847035ms [debug] IoT closed
2023-10-26T19:29:21.811Z  +1002ms [debug] IoT reconnected
2023-10-26T19:29:22.757Z   +946ms [debug] IoT connected
2023-10-26T20:00:09.901Z +1847144ms [debug] IoT closed
2023-10-26T20:00:10.903Z  +1002ms [debug] IoT reconnected
2023-10-26T20:00:11.853Z   +950ms [debug] IoT connected
2023-10-26T20:31:00.881Z +1849028ms [debug] IoT closed
2023-10-26T20:31:01.883Z  +1002ms [debug] IoT reconnected
2023-10-26T20:31:02.846Z   +962ms [debug] IoT connected
2023-10-26T20:54:32.162Z +1409317ms [debug] IoT closed
2023-10-26T20:54:33.096Z   +934ms [debug] IoT reconnected
2023-10-26T20:54:34.075Z   +979ms [debug] IoT connected
2023-10-26T21:25:22.918Z +1848843ms [debug] IoT closed
2023-10-26T21:25:23.919Z  +1001ms [debug] IoT reconnected
2023-10-26T21:25:24.887Z   +968ms [debug] IoT connected
2023-10-26T21:48:21.486Z +1376599ms [debug] IoT closed
2023-10-26T21:48:22.487Z  +1001ms [debug] IoT reconnected
2023-10-26T21:48:23.469Z   +982ms [debug] IoT connected
2023-10-26T22:18:57.419Z +1833950ms [debug] IoT closed
2023-10-26T22:18:58.420Z  +1001ms [debug] IoT reconnected
2023-10-26T22:18:59.458Z  +1038ms [debug] IoT connected
2023-10-26T22:46:05.505Z +1626047ms [debug] IoT closed
2023-10-26T22:46:06.507Z  +1002ms [debug] IoT reconnected
2023-10-26T22:46:07.471Z   +964ms [debug] IoT connected
2023-10-26T23:16:56.367Z +1848896ms [debug] IoT closed
2023-10-26T23:16:57.368Z  +1001ms [debug] IoT reconnected
2023-10-26T23:16:58.232Z   +864ms [debug] IoT connected
2023-10-26T23:37:38.752Z +1240520ms [debug] IoT closed
2023-10-26T23:37:39.755Z  +1003ms [debug] IoT reconnected
2023-10-26T23:37:40.720Z   +965ms [debug] IoT connected
2023-10-27T00:02:31.081Z +1490361ms [debug] IoT closed
2023-10-27T00:02:32.083Z  +1002ms [debug] IoT reconnected
2023-10-27T00:02:32.994Z   +911ms [debug] IoT connected
2023-10-27T00:33:21.965Z +1848971ms [debug] IoT closed
2023-10-27T00:33:22.965Z  +1000ms [debug] IoT reconnected
2023-10-27T00:33:23.880Z   +915ms [debug] IoT connected
2023-10-27T01:03:31.732Z +1807852ms [debug] IoT closed
2023-10-27T01:03:32.732Z  +1000ms [debug] IoT reconnected
2023-10-27T01:03:33.608Z   +876ms [debug] IoT connected
2023-10-27T01:24:11.774Z +1238166ms [debug] IoT closed
2023-10-27T01:24:12.777Z  +1003ms [debug] IoT reconnected
2023-10-27T01:24:13.698Z   +921ms [debug] IoT connected
2023-10-27T01:49:05.636Z +1491938ms [debug] IoT closed
2023-10-27T01:49:06.637Z  +1001ms [debug] IoT reconnected
2023-10-27T01:49:07.494Z   +857ms [debug] IoT connected
2023-10-27T02:23:47.457Z +2079963ms [debug] IoT closed
2023-10-27T02:23:48.458Z  +1001ms [debug] IoT reconnected
2023-10-27T02:23:49.302Z   +844ms [debug] IoT connected
2023-10-27T02:43:20.130Z +1170828ms [debug] IoT closed
2023-10-27T02:43:21.131Z  +1001ms [debug] IoT reconnected
2023-10-27T02:43:22.096Z   +965ms [debug] IoT connected
2023-10-27T03:27:34.897Z +2652800ms [debug] IoT closed
2023-10-27T03:27:35.896Z  +1000ms [debug] IoT reconnected
2023-10-27T03:27:36.872Z   +976ms [debug] IoT connected
2023-10-27T03:51:05.980Z +1409108ms [debug] IoT closed
2023-10-27T03:51:06.980Z  +1000ms [debug] IoT reconnected
2023-10-27T03:51:07.949Z   +969ms [debug] IoT connected
2023-10-27T04:21:54.919Z +1846970ms [debug] IoT closed
2023-10-27T04:21:55.920Z  +1001ms [debug] IoT reconnected
2023-10-27T04:21:56.862Z   +942ms [debug] IoT connected
2023-10-27T04:52:05.438Z +1808576ms [debug] IoT closed
2023-10-27T04:52:06.439Z  +1001ms [debug] IoT reconnected
2023-10-27T04:52:07.461Z  +1022ms [debug] IoT connected
2023-10-27T05:24:34.531Z +1947070ms [debug] IoT closed
2023-10-27T05:24:35.533Z  +1002ms [debug] IoT reconnected
2023-10-27T05:24:36.574Z  +1041ms [debug] IoT connected
2023-10-27T05:53:05.966Z +1709392ms [debug] IoT closed
2023-10-27T05:53:06.966Z  +1000ms [debug] IoT reconnected
2023-10-27T05:53:07.863Z   +897ms [debug] IoT connected
2023-10-27T06:23:54.980Z +1847098ms [debug] IoT closed
2023-10-27T06:23:55.969Z  +1008ms [debug] IoT reconnected
2023-10-27T06:23:56.999Z  +1030ms [debug] IoT connected
2023-10-27T06:54:05.484Z +1808485ms [debug] IoT closed
2023-10-27T06:54:06.486Z  +1002ms [debug] IoT reconnected
2023-10-27T06:54:07.508Z  +1022ms [debug] IoT connected
2023-10-27T07:24:55.519Z +1848011ms [debug] IoT closed
2023-10-27T07:24:56.521Z  +1002ms [debug] IoT reconnected
2023-10-27T07:24:57.548Z  +1027ms [debug] IoT connected
2023-10-27T07:55:06.153Z +1808605ms [debug] IoT closed
2023-10-27T07:55:07.154Z  +1001ms [debug] IoT reconnected
2023-10-27T07:55:08.011Z   +857ms [debug] IoT connected
2023-10-27T08:25:56.178Z +1848167ms [debug] IoT closed
2023-10-27T08:25:57.178Z  +1000ms [debug] IoT reconnected
2023-10-27T08:25:58.227Z  +1049ms [debug] IoT connected
2023-10-27T08:56:05.503Z +1807276ms [debug] IoT closed
2023-10-27T08:56:06.506Z  +1003ms [debug] IoT reconnected
2023-10-27T08:56:07.547Z  +1041ms [debug] IoT connected
2023-10-27T09:20:46.405Z +1478858ms [debug] IoT closed
2023-10-27T09:20:47.414Z  +1009ms [debug] IoT reconnected
2023-10-27T09:20:48.613Z  +1199ms [debug] IoT connected
